Cuisine,Ingredient,Count
Italian,mozzarella cheese,5
Peruvian,garlic,16
Peruvian,vegetable oil,14
Peruvian,water,10
Peruvian,olive oil,8
Peruvian,soy sauce,8
Peruvian,onion,8
Peruvian,salt,5
Peruvian,mayonnaise,5
Peruvian,paprika,5
Peruvian,evaporated milk,4
Swiss,salt,5
Swiss,all-purpose flour,4
Swiss,eggs,4
Swiss,butter,3
Swiss,baking powder,2
Swiss,swiss cheese,1
Swiss,potatoes,1
Swiss,vegetable oil,1
Swiss,garlic,1
Swiss,lemon,1
South,water,7
South,onion,6
South,milk,6
South,salt,5
South,butter,5
South,curry powder,4
South,eggs,4
South,bay leaves,3
South,vegetable oil,3
South,garlic,2
Danish,salt,22
Danish,all-purpose flour,18
Danish,butter,14
Danish,eggs,12
Danish,milk,8
Danish,water,7
Danish,shortening,4
Danish,baking powder,4
Danish,egg,4
Danish,sugar,3
Indonesian,garlic,17
Indonesian,vegetable oil,10
Indonesian,water,9
Indonesian,shallots,5
Indonesian,lemon juice,4
Indonesian,onion,4
Indonesian,salt,4
Indonesian,soy sauce,3
Indonesian,brown sugar,3
Indonesian,peanut oil,2
Cajun,salt,27
Cajun,green bell pepper,22
Cajun,garlic,21
Cajun,cayenne pepper,19
Cajun,butter,19
Cajun,onion,18
Cajun,water,11
Cajun,all-purpose flour,11
Cajun,paprika,10
Cajun,worcestershire sauce,9
